perm,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,pc1_frac_centroids
63,-0.1812344287,-0.1414506778,-0.6587095791,0.3472222222,0.8270999571,0.5980090111
64,-0.03737448581,-0.02852167685,-0.1038630509,0.3888888889,0.8541554301,0.5408768864
65,-0.0111850651,-0.009472143604,-0.1678037796,0.2777777778,0.8637436584,0.5733435262
66,0.08111445581,0.06293713194,0.002222792629,0.3888888889,0.8253871175,0.6168902567
67,-0.2860830471,-0.2158596281,-0.5689215073,0.4583333333,0.8661054863,0.7642475718
68,-0.02373416252,-0.02020723969,-0.4707459222,0.4305555556,0.8541554301,0.5947548856
69,0.02919029183,0.02125970009,-0.2656533827,0.3888888889,0.8446575088,0.5410025966
70,0.03310051784,0.02578527981,-0.4327214816,0.3055555556,0.8534990184,0.5902662983
71,0.1657753957,0.1274529545,-0.08104548817,0.2777777778,0.8387044636,0.6579320774
72,-0.1355848135,-0.1040883336,-0.3653110775,0.3611111111,0.8180134446,0.5476256424
73,-0.01645932343,-0.0110508342,-0.5049827199,0.3194444444,0.8105534495,0.5634083227
74,-0.1211260708,-0.09398471376,-0.3515890102,0.3333333333,0.8661054863,0.5582601046
75,-0.1617742342,-0.1265057401,-0.4576956111,0.3888888889,0.8180134446,0.5612491431
76,0.03810196971,0.02988987537,-0.5378997449,0.3888888889,0.8026662878,0.5946509816
77,0.107758554,0.08609126075,-0.3552656604,0.3333333333,0.8637194502,0.5505184065
78,0.07183903598,0.05641187746,-0.2205821742,0.2638888889,0.8112735025,0.5742882329
79,-0.03019058221,-0.02325937485,-0.4018767772,0.3472222222,0.8240744774,0.6387116261
80,0.1068491991,0.08482830827,-0.3144042157,0.3333333333,0.8216638489,0.6307470288
81,0.04555867978,0.03304725657,-0.1938567731,0.375,0.8337882309,0.5129255809
82,-0.06029022893,-0.04588727346,-0.4206781397,0.4305555556,0.8516131751,0.5122518259
83,0.09648255338,0.07535616467,-0.2134537508,0.3055555556,0.8288903852,0.6693508091
84,-0.139222233,-0.1073509608,-0.4874136613,0.4166666667,0.8311437941,0.5417951957
85,0.05956274502,0.04409809078,-0.2931321731,0.375,0.8661054863,0.5606469555
86,-0.2702602721,-0.2083871593,-0.3173556086,0.4861111111,0.8726594433,0.5850868088
87,-0.123035716,-0.09640537268,-0.3218563717,0.3472222222,0.8429497395,0.6025508059
88,-0.04865048639,-0.0380990665,-0.1253832838,0.4444444444,0.8510722766,0.5705423106
89,-0.1311289745,-0.1018781668,-0.4185853516,0.3194444444,0.8429497395,0.513085517
90,-0.1973300102,-0.1531329883,-0.7626252095,0.4027777778,0.8908967116,0.5977692234
91,-0.06256361614,-0.04893940862,-0.4850139742,0.4027777778,0.8485063732,0.5948060768
92,-0.003910226009,-0.002736397041,-0.6571386946,0.4722222222,0.8787872724,0.5062407973
93,0.1575912017,0.1222958985,-0.3767687222,0.3194444444,0.8058706111,0.663973186
94,0.08366064949,0.06483156067,-0.1258076193,0.3055555556,0.8368360476,0.5838346277
95,-0.163411073,-0.1264004941,-0.3631905314,0.4305555556,0.819494991,0.6017236475
96,0.07784077822,0.06083221114,-0.4485010244,0.2916666667,0.8217404435,0.5933902817
97,0.01282190389,0.006209516362,-0.579716541,0.2916666667,0.8278369513,0.5519153149
98,-0.07793171371,-0.05956925866,-0.2383345361,0.4722222222,0.8693009037,0.5254315527
99,0.09048081114,0.06798894187,-0.2661612541,0.375,0.8387044636,0.5447437194
