scenario_id,level,valence,markedness
politeness-refusal-058,negative,-10.75945509,-10.95504343
politeness-refusal-058,neutral,5.624384061,15.4763664
politeness-refusal-058,positive,5.135071032,-4.521322969
politeness-refusal-064,negative,-10.28422844,-6.909929932
politeness-refusal-064,neutral,8.038072303,13.12887589
politeness-refusal-064,positive,2.246156139,-6.218945959
politeness-refusal-069,negative,-6.220246884,-0.08167578888
politeness-refusal-069,neutral,2.431259468,5.265621061
politeness-refusal-069,positive,3.788987415,-5.183945272
politeness-refusal-077,negative,-3.995022874,0.8311012616
politeness-refusal-077,neutral,2.2064239,6.19379522
politeness-refusal-077,positive,1.788598975,-7.024896481
politeness-refusal-080,negative,-7.835406479,-2.255355925
politeness-refusal-080,neutral,4.41612549,11.46995061
politeness-refusal-080,positive,3.419280989,-9.214594688
politeness-refusal-083,negative,-7.234656621,-1.505187128
politeness-refusal-083,neutral,5.227604238,8.25744548
politeness-refusal-083,positive,2.007052383,-6.752258352
politeness-refusal-090,negative,-8.367210273,-4.949379013
politeness-refusal-090,neutral,4.415941101,7.389663819
politeness-refusal-090,positive,3.951269172,-2.440284806
politeness-reminder-017,negative,0.8698930313,11.88846825
politeness-reminder-017,neutral,-0.4553639072,1.354451728
politeness-reminder-017,positive,-0.4145291241,-13.24291998
politeness-reminder-018,negative,-10.54133205,-3.044823382
politeness-reminder-018,neutral,10.57778486,20.4095307
politeness-reminder-018,positive,-0.03645281367,-17.36470732
politeness-reminder-019,negative,-9.727087479,-8.579689829
politeness-reminder-019,neutral,6.880742424,15.16914647
politeness-reminder-019,positive,2.846345055,-6.589456639
politeness-reminder-021,negative,-9.99478915,-5.190866025
politeness-reminder-021,neutral,11.51890197,21.96509598
politeness-reminder-021,positive,-1.52411282,-16.77422996
politeness-reminder-079,negative,-3.851369987,5.777128291
politeness-reminder-079,neutral,3.955585566,6.054513434
politeness-reminder-079,positive,-0.1042155794,-11.83164173
politeness-reminder-094,negative,-7.02705232,-3.147756163
politeness-reminder-094,neutral,16.24589186,29.29627654
politeness-reminder-094,positive,-9.21883954,-26.14852038
politeness-request-001,negative,-5.846137866,0.003822525123
politeness-request-001,neutral,-1.409665899,-2.013475831
politeness-request-001,positive,7.255803765,2.009653306
politeness-request-006,negative,-16.38534506,-9.784736445
politeness-request-006,neutral,10.61308142,14.27658425
politeness-request-006,positive,5.772263645,-4.491847807
politeness-request-025,negative,-23.07720652,-35.28083251
politeness-request-025,neutral,16.96829983,37.53650583
politeness-request-025,positive,6.10890669,-2.255673324
politeness-request-029,negative,-5.193591719,4.868413765
politeness-request-029,neutral,2.197193828,2.912668411
politeness-request-029,positive,2.996397891,-7.781082176
politeness-request-031,negative,-9.566597246,3.910715689
politeness-request-031,neutral,3.476572987,1.75076864
politeness-request-031,positive,6.090024258,-5.661484329
politeness-request-037,negative,-10.7578162,-3.372247541
politeness-request-037,neutral,1.810929941,2.307567127
politeness-request-037,positive,8.946886262,1.064680415
politeness-request-053,negative,-14.07801356,-13.59129493
politeness-request-053,neutral,13.12055967,20.60360676
politeness-request-053,positive,0.9574538964,-7.012311829
politeness-request-056,negative,-4.434125151,-0.7759613526
politeness-request-056,neutral,4.972387453,12.26155172
politeness-request-056,positive,-0.5382623021,-11.48559036
politeness-request-061,negative,-8.8753082,-0.2529776662
politeness-request-061,neutral,3.489792227,5.405275554
politeness-request-061,positive,5.385515973,-5.152297887
politeness-request-074,negative,-6.99353249,-4.180015837
politeness-request-074,neutral,2.01154464,2.91866647
politeness-request-074,positive,4.98198785,1.261349367
politeness-request-093,negative,-4.954710168,2.127939245
politeness-request-093,neutral,3.124593453,9.03999906
politeness-request-093,positive,1.830116715,-11.16793831
politeness-request-097,negative,-16.80604152,-13.37860427
politeness-request-097,neutral,15.60852617,23.54868483
politeness-request-097,positive,1.197515355,-10.17008056
