perm,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,pc1_frac_centroids
29,-0.01873271065,-0.01589215205,-0.5516019805,0.3472222222,0.8347268517,0.7448829203
30,0.01373125878,0.0110508342,-0.4051942927,0.375,0.8533753001,0.6105845401
31,-0.1805978803,-0.1390300189,-0.4376432154,0.375,0.7950584428,0.5418885996
32,0.1308561681,0.1018781668,-0.2051268573,0.4027777778,0.9130692126,0.5766973513
33,0.1725955573,0.1306103357,-0.5617657513,0.2083333333,0.8507195104,0.7713418738
34,0.1464970721,0.1097716198,-0.5577117254,0.2361111111,0.8567095166,0.7123070639
35,0.1093044573,0.08398633995,-0.3918989975,0.2361111111,0.8849837581,0.6146258381
36,-0.0381929052,-0.03136331993,-0.4503797007,0.3055555556,0.8302912162,0.5961614474
37,0.0748399071,0.05988499678,-0.4087167586,0.4444444444,0.8213493212,0.6000236723
38,0.01564090404,0.01136657232,-0.3437046768,0.3888888889,0.8598896325,0.6725108487
39,0.119489232,0.09187979296,-0.1217925704,0.2638888889,0.842799621,0.6354223207
40,0.2100609786,0.1660782512,-0.3052121287,0.4027777778,0.8272663393,0.5768822647
41,-0.1507710401,-0.1168231044,-0.5630741721,0.375,0.8354199992,0.5976614632
42,-0.1723227509,-0.1352411615,-0.2797954504,0.3888888889,0.8035714985,0.6603704397
43,-0.1219444902,-0.09703684892,-0.3519516733,0.2916666667,0.8274075063,0.6778495617
44,-0.1452239753,-0.1134552312,-0.6531121018,0.3194444444,0.8972729524,0.5942921451
45,0.01473154915,0.01178755648,-0.5641508233,0.2222222222,0.8593562891,0.6964689182
46,0.1068491991,0.08324961767,-0.5216774474,0.3472222222,0.8569822635,0.6770272517
47,0.01018477472,0.003683611401,-0.4253816222,0.2222222222,0.8616604785,0.5601245377
48,-0.06811068095,-0.05209678982,-0.7542951402,0.3888888889,0.8539818587,0.6428071982
49,-0.09066268211,-0.07062009287,-0.4165720105,0.3472222222,0.8411824574,0.6026547017
50,0.06574635824,0.04872891654,-0.7828731193,0.2222222222,0.8247778126,0.6734071406
51,-0.08193287521,-0.06325287007,-0.3445284515,0.3333333333,0.855826079,0.5320434188
52,0.0843881334,0.06441057651,-0.4812688725,0.25,0.8792512042,0.5937845373
53,-0.06974751974,-0.05588564726,-0.2157402983,0.4027777778,0.8332228915,0.5914030101
54,0.03300958235,0.02810069269,-0.6016978855,0.3472222222,0.8280019066,0.5327339536
55,-0.1575002662,-0.1225063906,-0.390237636,0.2222222222,0.8347268517,0.6411965414
56,0.09766471473,0.07525091863,-0.1404309515,0.4444444444,0.8526306356,0.5717528599
57,0.04419464745,0.03431020905,-0.5271164723,0.2361111111,0.8569822635,0.6022966534
58,-0.1864177516,-0.1417664159,-0.4752690964,0.4027777778,0.8675674886,0.6062085177
59,0.0883892949,0.06988337059,-0.2417031837,0.1805555556,0.8888442204,0.6111952518
60,0.07393055221,0.06009548886,-0.4052708273,0.2777777778,0.846289026,0.6442222894
61,0.1142149737,0.08756470531,-0.2100365083,0.25,0.8362477684,0.6260518464
62,0.01527716208,0.01262952481,-0.6937387926,0.2361111111,0.8509892683,0.5780260886
63,-0.003910226009,-0.003578365361,-0.316479431,0.2777777778,0.8874750487,0.7013519626
64,-0.09957435999,-0.07946076023,-0.5056638159,0.4027777778,0.8328174787,0.5481008609
65,0.009911968255,0.008209191123,-0.5447052802,0.3333333333,0.8797298528,0.5119172347
66,0.1099410057,0.08209191123,-0.2192201149,0.2222222222,0.8481445358,0.5793463908
67,-0.2991777574,-0.2358563757,-0.6130976346,0.3194444444,0.8323951223,0.6438472763
