perm,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,pc1_frac_centroids
40,-0.1249453613,-0.09661586476,-0.3095307011,0.1666666667,0.8070413303,0.7835025036
41,0.09902874706,0.07661911715,-0.2321489242,0.1666666667,0.9338222853,0.9578775997
42,-0.1586824276,-0.1218749144,-0.6825572511,0.2916666667,0.7905799234,0.7580086488
43,0.1041211344,0.08124994291,-0.6213602566,0.1111111111,0.9570494947,0.9472194823
44,-0.179051977,-0.139240511,-0.989096331,0.1944444444,0.8092877392,0.666595447
45,0.02173358177,0.01610264413,-0.8331034074,0.25,0.9400915094,0.9498978778
46,-0.1254909742,-0.09714209496,-0.7269215737,0.2222222222,0.7170944694,0.6904001166
47,0.02018767846,0.01305050897,-0.6593694208,0.1388888889,0.9559752191,0.9752816392
48,0.2300667861,0.1780762998,-0.3110920906,0.2222222222,0.7245862258,0.9835137006
49,0.115397135,0.08945913404,-0.5318175311,0.1805555556,0.8814847724,0.9832393683
50,0.1168521028,0.08893290384,-0.5685799882,0.2361111111,0.8373150329,0.9451771267
51,-0.1975118812,-0.1519752818,-0.9950081732,0.1666666667,0.8478707004,0.797527788
52,0.0748399071,0.05956925866,-0.3689227337,0.2222222222,0.9591395478,0.9750767964
53,-0.1899642356,-0.147133964,-0.4961543054,0.1666666667,0.7521690898,0.965884065
54,0.02537100131,0.01957576345,-0.6338127313,0.1666666667,0.8331613311,0.9400549556
55,0.02618942071,0.02083871593,-0.7128474585,0.1527777778,0.9528017375,0.5451607733
56,0.1026661666,0.07598764091,-0.5599322504,0.1666666667,0.8306381089,0.9300160616
57,0.03019058221,0.02157543821,-0.1725208139,0.1805555556,0.8238087747,0.9244957925
58,0.1385856846,0.1062985004,-0.420102877,0.2083333333,0.7766460094,0.9544602042
59,0.08666152062,0.06714697355,-0.783423659,0.1805555556,0.7561312108,0.97694138
60,-0.03300958235,-0.02599577189,-0.4062463044,0.1388888889,0.917137089,0.9031797556
61,-0.1167611673,-0.09072208652,-0.7394489713,0.2361111111,0.8373150329,0.7244611337
62,-0.01554996855,-0.01136657232,-0.9090548332,0.1527777778,0.8097169627,0.9166239483
63,0.1146696511,0.08756470531,-0.9091603486,0.2361111111,0.712248204,0.9467021223
64,0.02191545275,0.01757608869,-0.6515426602,0.2222222222,0.8325255788,0.9571340221
65,0.0923904564,0.07051484683,-0.2703050976,0.1666666667,0.9141223782,0.9636985577
66,-0.02728064657,-0.02052297781,-0.7623527865,0.1388888889,0.8827343801,0.8880340206
67,0.02809906597,0.02115445405,-0.8942482995,0.25,0.7197695931,0.7536800474
68,0.1690490733,0.1322942723,-0.8463560549,0.2638888889,0.6841260006,0.9772851596
69,-0.09320887579,-0.07072533891,-0.728256999,0.2777777778,0.8119633716,0.9384798921
70,0.1121234574,0.08545978451,-0.5618927667,0.1944444444,0.8526603501,0.9498254467
71,0.05146948654,0.04399284474,-0.5722178115,0.1805555556,0.7016908009,0.9549196159
72,0.06429139042,0.04872891654,-0.7606075515,0.1944444444,0.7519685606,0.9244263695
73,0.04119377633,0.03020561349,-0.6978752813,0.1944444444,0.7922830148,0.8925700768
74,-0.1188526836,-0.09030110236,-0.7171438872,0.3472222222,0.8119633716,0.7387126824
75,-0.06156332577,-0.04641350366,-0.6404772196,0.1111111111,0.8306381089,0.8714399646
76,-0.2060598171,-0.1592372586,-0.6628173866,0.1805555556,0.7862655092,0.7476222389
77,-0.071657165,-0.05567515518,-0.6944817325,0.2222222222,0.7946585567,0.7684335132
78,-0.02500725936,-0.01957576345,-0.562428056,0.1527777778,0.8566158313,0.8443913352
79,0.05383380924,0.04167743186,-0.7991631585,0.2222222222,0.7596399676,0.8871722217
80,0.1205804579,0.09387946772,-0.161463931,0.25,0.8070413303,0.9445033492
81,-0.1524078789,-0.1191385173,-0.6762500655,0.2916666667,0.6991597901,0.9577469802
82,0.02964496928,0.02273314465,-0.6991641588,0.2083333333,0.7766460094,0.8417013988
83,0.06001742246,0.04609776554,-0.242759296,0.1944444444,0.7329949204,0.8991008762
84,0.1202167159,0.0904063484,-0.5932217025,0.2361111111,0.7857221917,0.9477808106
85,0.05638000292,0.04357186058,-0.2739847748,0.1944444444,0.7674000551,0.8920034414
86,0.03282771138,0.02599577189,-0.4336902178,0.1527777778,0.7924121478,0.8753551808
87,0.1105775541,0.08398633995,-0.7394678081,0.1666666667,0.9120266109,0.9508270704
88,-0.1722318154,-0.1335572248,-0.5392639594,0.2222222222,0.9033491466,0.8431642285
89,-0.1875999129,-0.1466077338,-0.4002893042,0.1944444444,0.7283536739,0.6730683168
90,-0.009093548858,-0.005999024282,-0.8318337698,0.125,0.9591395478,0.8931136089
91,0.09139016602,0.07230402951,-0.5285420535,0.1944444444,0.7844999376,0.9042279154
92,0.1374035232,0.1062985004,-0.5787487008,0.2777777778,0.7711093411,0.9476140167
93,0.1342207811,0.1016676747,-0.2239448332,0.1805555556,0.8054025484,0.8953877204
94,-0.1039392634,-0.07988174439,-0.3987609578,0.1944444444,0.8310933197,0.7276830211
95,-0.07293026184,-0.05451744874,-0.7470445422,0.1388888889,0.7905799234,0.9789417388
96,0.1108503606,0.08482830827,-0.8727036619,0.2083333333,0.7521690898,0.9771622129
97,0.03410080822,0.02546954169,-0.642119895,0.1666666667,0.7711093411,0.8805993704
98,-0.2618942071,-0.2005989523,-0.6018932072,0.1666666667,1.042760302,0.8662229702
99,0.08329690754,0.0628318859,-0.5974497201,0.2083333333,0.70469129,0.9224215121
