perm,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,pc1_frac_centroids
32,0.03573764701,0.02852167685,-0.1230920909,0.3333333333,0.9579086009,0.5658869602
33,0.2053323332,0.1597634888,0.04069036646,0.3055555556,0.8278369513,0.7272252014
34,0.1824165901,0.1402929714,-0.3859340392,0.3194444444,0.8216638489,0.6851688791
35,0.1133056188,0.08819618155,-0.5122675782,0.3333333333,0.8669940367,0.6292290325
36,-0.08420626242,-0.06430533047,-0.4024030191,0.2916666667,0.8341963191,0.552826218
37,-0.1264912646,-0.09798406328,-0.3015195894,0.5138888889,0.8253871175,0.5574182273
38,0.02637129169,0.02125970009,-0.5147170578,0.375,0.8541554301,0.6059441045
39,0.1650479118,0.1290316451,-0.2899878415,0.3472222222,0.8265243112,0.6312995718
40,0.1635020085,0.1282949228,-0.3052720502,0.3611111111,0.8371902832,0.5491639504
41,-0.1546812661,-0.1194542554,-0.3448638783,0.3888888889,0.851335066,0.5603051988
42,-0.2191545275,-0.170919569,-0.3937710145,0.5138888889,0.7918654576,0.6403515244
43,-0.0812053913,-0.06420008443,-0.7011802307,0.4166666667,0.8000762455,0.6259973316
44,-0.05119668007,-0.04030923334,-0.4070131803,0.3055555556,0.8625841395,0.5530532849
45,-0.09193577895,-0.06946238643,-0.7845432013,0.2916666667,0.860469072,0.662754813
46,0.1110322316,0.08809093551,-0.0888191096,0.3472222222,0.8232219898,0.6002814863
47,0.05856245464,0.04325612246,-0.09096208319,0.2777777778,0.8286939603,0.5697805625
48,-0.1342207811,-0.1046145638,-0.4425681887,0.4722222222,0.8678237422,0.5742323902
49,-0.01891458162,-0.01547116789,-0.4370436116,0.3472222222,0.8524476608,0.5660774004
50,0.0947547791,0.07135681515,-0.8499023945,0.2638888889,0.8000762455,0.6635369112
51,-0.07129342305,-0.05514892498,-0.1002713205,0.4444444444,0.8648868881,0.5565339026
52,0.003364613077,0.0008419683203,-0.563406542,0.2777777778,0.8350129444,0.5753173299
53,-0.08020510093,-0.06198991758,-0.2054567564,0.4166666667,0.8286892521,0.5228866721
54,-0.006911097132,-0.007472468843,-0.4294478441,0.3888888889,0.8368360476,0.5484458424
55,-0.187418042,-0.1451342892,-0.5456790147,0.3888888889,0.843328042,0.6327416574
56,0.0493779703,0.0391515269,-0.329012763,0.4166666667,0.847400281,0.5286720748
57,0.01791429125,0.01115608024,-0.6520610185,0.3055555556,0.8593337612,0.5513212711
58,-0.2327039153,-0.181233681,-0.4731958363,0.4861111111,0.8240744774,0.6087703555
59,0.1043030054,0.08230240331,-0.1583783677,0.3055555556,0.8648868881,0.5587152848
60,0.1487704593,0.1150339218,-0.4013253334,0.3194444444,0.8506703256,0.629155936
61,0.1290374583,0.0982998014,-0.4021477382,0.2916666667,0.8335051599,0.6495623084
62,0.06720132606,0.05146531358,-0.4058702448,0.2638888889,0.839174133,0.5845958979
63,0.09784658571,0.07767157755,-0.5195341427,0.2916666667,0.8738731768,0.6574727133
64,-0.1727774283,-0.134083455,-0.4262970466,0.4166666667,0.8082846852,0.6385528536
65,0.08293316558,0.06156893342,-0.4344034308,0.375,0.8717708929,0.5555938521
66,0.05128761556,0.03883578878,-0.2509542696,0.25,0.8637194502,0.5744002675
67,-0.2100609786,-0.1607107031,-0.4391781629,0.3611111111,0.8422219498,0.572794669
68,0.1614104922,0.123558851,-0.3017226703,0.3055555556,0.8343264935,0.71776195
69,-0.03846571167,-0.02967938329,-0.7284264634,0.3611111111,0.8361495967,0.5502965132
70,-0.06092677735,-0.04683448782,-0.4240337382,0.4444444444,0.8082846852,0.5170932149
71,0.2594389489,0.2003884602,-0.2575903171,0.3333333333,0.7956505097,0.7685799208
72,-0.06165426126,-0.04557153534,-0.4460035114,0.4444444444,0.8669351919,0.6638746598
73,-0.1078494895,-0.08156568103,-0.3958762726,0.3333333333,0.8343264935,0.568085079
74,0.004910516383,0.003683611401,-0.2939763065,0.2916666667,0.8678237422,0.6063914711
75,0.1401315879,0.1098768658,-0.03351705763,0.25,0.8112616164,0.7036880365
76,0.06520074531,0.05146531358,-0.289873607,0.3055555556,0.8216638489,0.5951572342
77,-0.04128471181,-0.03136331993,-0.3104334526,0.3611111111,0.8523780949,0.5323673899
78,0.005819871269,0.003052135161,-0.7519501818,0.4166666667,0.8407857871,0.5675235847
79,0.0533791318,0.03841480462,-0.3514468524,0.2916666667,0.8389932439,0.5578190155
80,-0.03464642115,-0.02515380357,-0.6168165687,0.2916666667,0.8632977648,0.5765492423
81,-0.09102642407,-0.06830467999,-0.3742409378,0.5,0.8477545165,0.5584135466
82,-0.03173648551,-0.02399609713,-0.3195463788,0.3888888889,0.8524476608,0.5501169342
83,-0.03119087258,-0.02420658921,-0.3202581366,0.4444444444,0.8696756989,0.6255313359
84,-0.07711329431,-0.05925352054,-0.3477787513,0.4444444444,0.8669351919,0.611344194
85,0.07447616515,0.05788532202,-0.4098420941,0.1805555556,0.8705522947,0.6458395984
86,0.1000290374,0.07619813299,-0.2897924376,0.3055555556,0.8144631474,0.6561412919
87,0.2847190147,0.2199642237,-0.6408933128,0.3194444444,0.8371902832,0.8261934762
88,0.03091806612,0.02010199365,-0.2789474476,0.4166666667,0.8517567514,0.6274963597
89,-0.1696856217,-0.1326100105,-0.6621957542,0.3472222222,0.8416202727,0.5157018464
90,0.04228500219,0.03283676449,-0.1476063943,0.4861111111,0.8353024113,0.6016165267
91,-0.1057579732,-0.07977649835,-0.6777830439,0.4444444444,0.8245346299,0.5580466599
92,0.06520074531,0.04988662298,-0.4332300234,0.3194444444,0.8114400369,0.5981354848
93,0.08902584332,0.06704172751,-0.4322550713,0.3333333333,0.8253871175,0.5740580028
94,0.06392764847,0.0486236705,-0.3661426303,0.2777777778,0.8082846852,0.665876068
95,-0.0501963897,-0.03936201898,-0.5223200841,0.2777777778,0.8645491558,0.5609203124
96,0.08256942363,0.06388434631,-0.3586708941,0.4722222222,0.8379421399,0.5655229236
97,-0.1033936505,-0.07956600627,-0.7164850164,0.2777777778,0.8815158249,0.5450894593
98,-0.07784077822,-0.05830630618,-0.407125001,0.2777777778,0.8717828475,0.5886896843
99,0.1469517495,0.1117712945,-0.2117536333,0.3055555556,0.8637194502,0.6002946691
