perm,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,pc1_frac_centroids
21,0.06456419689,0.04946563882,-0.5308793224,0.25,0.8039145568,0.6083504201
22,-0.1043030054,-0.08019748251,-0.1932988045,0.4444444444,0.8141436645,0.5655705407
23,-0.02237013019,-0.01704985849,-0.5251773458,0.375,0.8316950617,0.5391649532
24,0.01454967817,0.01073509608,-0.3009556969,0.3611111111,0.8449688992,0.603397071
25,-0.1467698786,-0.1111398183,-0.7379423998,0.3611111111,0.8368061182,0.6531139943
26,-0.1233085225,-0.09503717416,-0.7545528975,0.3055555556,0.850673059,0.556907232
27,0.03801103423,0.02736397041,-0.5578199943,0.25,0.8353145829,0.5415436141
28,-0.1383128781,-0.107771945,-0.5180943076,0.375,0.7886699679,0.5870704627
29,-0.1037573925,-0.07640862507,-0.6317548894,0.2638888889,0.7746441072,0.679702237
30,-0.04601335722,-0.03494168529,-0.4568378309,0.2777777778,0.7948064841,0.5307024443
31,-0.1131237478,-0.08766995135,-0.659993701,0.2916666667,0.7876391892,0.5613961225
32,-0.04064816339,-0.03094233577,-0.5107980278,0.3194444444,0.8928711924,0.6650102207
33,0.1715043315,0.1310313199,-0.3117938494,0.25,0.8243210068,0.7132285534
34,0.1184889416,0.09030110236,-0.5813609987,0.3472222222,0.83199592,0.6188436576
35,0.04992358323,0.03788857442,-0.323694463,0.2777777778,0.8928711924,0.5446372943
36,-0.167321299,-0.1289263991,-0.2951134526,0.3472222222,0.8368061182,0.557307895
37,-0.1286737163,-0.1000889841,-0.5582115337,0.4444444444,0.7886924571,0.6522111743
38,-0.0629273581,-0.04736071802,-0.3969078066,0.1944444444,0.8749458063,0.688443435
39,0.2375234962,0.1848120463,-0.2939606072,0.3055555556,0.8333055154,0.6535541352
40,0.1323111359,0.1037725955,-0.2838462162,0.3055555556,0.83199592,0.6049418268
41,-0.07065687463,-0.05567515518,-0.7993829342,0.25,0.8299914667,0.5547599576
42,-0.1615014277,-0.1251375416,-0.3078892123,0.3194444444,0.7787641719,0.7266135754
43,-0.05547064803,-0.04462432098,-0.568749762,0.375,0.7647611136,0.6191178895
44,0.04183032475,0.03136331993,-0.6613474743,0.3472222222,0.8722366903,0.583419358
45,-0.1388584911,-0.1071404688,-0.40678961,0.3333333333,0.8291540062,0.6537764302
